TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR
DEMOGRAPHIC,SEX,A,A=Ambiguous
DEMOGRAPHIC,SEX,F,F=Female
DEMOGRAPHIC,SEX,M,M=Male
DEMOGRAPHIC,SEX,NI,NI=No  information
DEMOGRAPHIC,SEX,UN,UN=Unknown
DEMOGRAPHIC,SEX,OT,OT=Other
DEMOGRAPHIC,SEXUAL_ORIENTATION,AS,AS=Asexual
DEMOGRAPHIC,SEXUAL_ORIENTATION,BI,BI=Bisexual
DEMOGRAPHIC,SEXUAL_ORIENTATION,GA,GA=Gay
DEMOGRAPHIC,SEXUAL_ORIENTATION,LE,LE=Lesbian
DEMOGRAPHIC,SEXUAL_ORIENTATION,QU,QU=Queer
DEMOGRAPHIC,SEXUAL_ORIENTATION,QS,QS=Questioning
DEMOGRAPHIC,SEXUAL_ORIENTATION,ST,ST=Straight
DEMOGRAPHIC,SEXUAL_ORIENTATION,SE,SE=Something  else
DEMOGRAPHIC,SEXUAL_ORIENTATION,MU,MU=Multiple  sexual  orientations
DEMOGRAPHIC,SEXUAL_ORIENTATION,DC,DC=Decline  to  answer
DEMOGRAPHIC,SEXUAL_ORIENTATION,NI,NI=No  information
DEMOGRAPHIC,SEXUAL_ORIENTATION,UN,UN=Unknown
DEMOGRAPHIC,SEXUAL_ORIENTATION,OT,OT=Other
DEMOGRAPHIC,GENDER_IDENTITY,M,M=Man
DEMOGRAPHIC,GENDER_IDENTITY,F,F=Woman
DEMOGRAPHIC,GENDER_IDENTITY,TM,TM=Transgender  male/Trans  man/Female-to-male
DEMOGRAPHIC,GENDER_IDENTITY,TF,TF=Transgender  female/Trans  woman/Male-to-female
DEMOGRAPHIC,GENDER_IDENTITY,GQ,GQ=Genderqueer
DEMOGRAPHIC,GENDER_IDENTITY,SE,SE=Something  else
DEMOGRAPHIC,GENDER_IDENTITY,MU,MU=Multiple  gender  categories
DEMOGRAPHIC,GENDER_IDENTITY,DC,DC=Decline  to  answer
DEMOGRAPHIC,GENDER_IDENTITY,NI,NI=No  information
DEMOGRAPHIC,GENDER_IDENTITY,UN,UN=Unknown
DEMOGRAPHIC,GENDER_IDENTITY,OT,OT=Other
DEMOGRAPHIC,HISPANIC,Y,Y=Yes
DEMOGRAPHIC,HISPANIC,N,N=No
DEMOGRAPHIC,HISPANIC,R,R=Refuse  to  answer
DEMOGRAPHIC,HISPANIC,NI,NI=No  information
DEMOGRAPHIC,HISPANIC,UN,UN=Unknown
DEMOGRAPHIC,HISPANIC,OT,OT=Other
DEMOGRAPHIC,RACE,01,01=American  Indian  or  Alaska  Native
DEMOGRAPHIC,RACE,02,02=Asian
DEMOGRAPHIC,RACE,03,03=Black  or  African  American
DEMOGRAPHIC,RACE,04,04=Native  Hawaiian  or  Other  Pacific  Islander
DEMOGRAPHIC,RACE,05,05=White
DEMOGRAPHIC,RACE,06,06=Multiple  race
DEMOGRAPHIC,RACE,07,07=Refuse  to  answer
DEMOGRAPHIC,RACE,NI,NI=No  information
DEMOGRAPHIC,RACE,UN,UN=Unknown
DEMOGRAPHIC,RACE,OT,OT=Other
DEMOGRAPHIC,BIOBANK_FLAG,Y,Y=Yes
DEMOGRAPHIC,BIOBANK_FLAG,N,N=No
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AAR,AAR=Afar
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ABK,ABK=Abkhazian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ACE,ACE=Achinese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ACH,ACH=Acoli
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ADA,ADA=Adangme
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ADY,ADY=Adyghe;  Adygei
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AFR,AFR=Afrikaans
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AIN,AIN=Ainu
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AKA,AKA=Akan
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ALE,ALE=Aleut
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ALT,ALT=Southern  Altai
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AMH,AMH=Amharic
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ANP,ANP=Angika
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ARA,ARA=Arabic
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ARG,ARG=Aragonese
